# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     60      1      0      0      0      0 
    0     22      1      2      0      0      0 
    0     25      2      2      0      0      0 
    0     30      2      1      0      0      0 
    0     33      2      1      0      0      0 
    0     36      2      3      0      0      0 
    0     30      2      5      0      0      0 
    0     34      2      4      0      0      0 
    0     42      2      2      0      0      0 
    0     25      2      6      0      0      0 
    0     23      2      7      0      0      0 
    0     37      2      4      0      0      0 
    0     42      1      3      0      0      0 
    0     42      2      5      0      0      0 
    0     42      1      2      0      0      0 
    0     42      1      4      0      0      0 
    0     39      1      4      0      0      0 
    0     35      1      2      0      0      0 
    0     34      1      2      0      0      0 
    0     22      1      2      0      0      0 
    0     27      2      3      0      0      0 
    0     58      1      0      0      0      0 
    0     55      1      0      0      0      0 
    0     60      1      0      0      0      0 
